Wavel(nm)	T_abs	bandw(nm)
209.467951	0.000000	0.021941
209.489892	0.000000	0.021945
209.511837	0.000000	0.021950
209.533787	0.000000	0.021955
209.555742	0.000000	0.021959
209.577701	0.000000	0.021964
209.599665	0.000000	0.021968
209.621633	0.000000	0.021973
209.643606	0.000000	0.021978
209.665583	0.000000	0.021982
209.687566	0.000000	0.021987
209.709552	0.000000	0.021991
209.731544	0.000000	0.021996
209.753540	0.000000	0.022001
209.775540	0.000000	0.022005
209.797545	0.000000	0.022010
209.819555	0.000000	0.022014
209.841570	0.000000	0.022019
209.863589	0.000000	0.022024
209.885612	0.000000	0.022028
209.907641	0.000000	0.022033
209.929674	0.000000	0.022038
209.951711	0.000000	0.022042
209.973753	0.000000	0.022047
209.995800	0.000000	0.022051
210.017852	0.000000	0.022056
210.039908	0.000000	0.022061
210.061968	0.000000	0.022065
210.084034	0.000000	0.022070
210.106104	0.000000	0.022075
210.128178	0.000000	0.022079
210.150257	0.000000	0.022084
210.172341	0.000000	0.022089
210.194430	0.000000	0.022093
210.216523	0.000000	0.022098
210.238621	0.000000	0.022102
210.260723	0.000000	0.022107
210.282830	0.000000	0.022112
210.304942	0.000000	0.022116
210.327059	0.000000	0.022121
210.349180	0.000000	0.022126
210.371305	0.000000	0.022130
210.393436	0.000000	0.022135
210.415571	0.000000	0.022140
210.437710	0.000000	0.022144
210.459855	0.000000	0.022149
210.482004	0.000000	0.022154
210.504157	0.000000	0.022158
210.526316	0.000000	0.022163
210.548479	0.000000	0.022168
210.570646	0.000000	0.022172
210.592819	0.000000	0.022177
210.614996	0.000000	0.022182
210.637177	0.000000	0.022186
210.659364	0.000000	0.022191
210.681555	0.000000	0.022196
210.703751	0.000000	0.022200
210.725951	0.000000	0.022205
210.748156	0.000000	0.022210
210.770366	0.000000	0.022214
210.792580	0.000000	0.022219
210.814799	0.000000	0.022224
210.837023	0.000000	0.022228
210.859251	0.000000	0.022233
210.881485	0.000000	0.022238
210.903722	0.000000	0.022243
210.925965	0.000000	0.022247
210.948212	0.000000	0.022252
210.970464	0.000000	0.022257
210.992721	0.000000	0.022261
211.014982	0.000000	0.022266
211.037248	0.000000	0.022271
211.059519	0.000000	0.022275
211.081794	0.000000	0.022280
211.104074	0.000000	0.022285
211.126359	0.000000	0.022290
211.148649	0.000000	0.022294
211.170943	0.000000	0.022299
211.193242	0.000000	0.022304
211.215545	0.000000	0.022308
211.237854	0.000000	0.022313
211.260167	0.000000	0.022318
211.282485	0.000000	0.022323
211.304807	0.000000	0.022327
211.327134	0.000000	0.022332
211.349466	0.000000	0.022337
211.371803	0.000000	0.022341
211.394144	0.000000	0.022346
211.416490	0.000000	0.022351
211.438841	0.000000	0.022356
211.461197	0.000000	0.022360
211.483557	0.000000	0.022365
211.505922	0.000000	0.022370
211.528292	0.000000	0.022374
211.550666	0.000000	0.022379
211.573046	0.000000	0.022384
211.595430	0.000000	0.022389
211.617818	0.000000	0.022393
211.640212	0.000000	0.022398
211.662610	0.000000	0.022403
211.685013	0.000000	0.022408
211.707420	0.000000	0.022412
211.729833	0.000000	0.022417
211.752250	0.000000	0.022422
211.774672	0.000000	0.022427
211.797098	0.000000	0.022431
211.819530	0.000000	0.022436
211.841966	0.000000	0.022441
211.864407	0.000000	0.022446
211.886852	0.000000	0.022450
211.909303	0.000000	0.022455
211.931758	0.000000	0.022460
211.954218	0.000000	0.022465
211.976683	0.000000	0.022469
211.999152	0.000000	0.022474
212.021626	0.000000	0.022479
212.044105	0.000000	0.022484
212.066589	0.000000	0.022489
212.089077	0.000000	0.022493
212.111571	0.000000	0.022498
212.134069	0.000000	0.022503
212.156572	0.000000	0.022508
212.179079	0.000000	0.022512
212.201592	0.000000	0.022517
212.224109	0.000000	0.022522
212.246631	0.000000	0.022527
212.269157	0.000000	0.022531
212.291689	0.000000	0.022536
212.314225	0.000000	0.022541
212.336766	0.000000	0.022546
212.359312	0.000000	0.022551
212.381863	0.000000	0.022555
212.404418	0.000000	0.022560
212.426978	0.000000	0.022565
212.449543	0.000000	0.022570
212.472113	0.000000	0.022575
212.494688	0.000000	0.022579
212.517267	0.000000	0.022584
212.539851	0.000000	0.022589
212.562440	0.000000	0.022594
212.585034	0.000000	0.022599
212.607633	0.000000	0.022603
212.630236	0.000000	0.022608
212.652844	0.000000	0.022613
212.675457	0.000000	0.022618
212.698075	0.000000	0.022623
212.720698	0.000000	0.022627
212.743325	0.000000	0.022632
212.765957	0.000000	0.022637
212.788595	0.000000	0.022642
212.811236	0.000000	0.022647
212.833883	0.000000	0.022652
212.856535	0.000000	0.022656
212.879191	0.000000	0.022661
212.901852	0.000000	0.022666
212.924518	0.000000	0.022671
212.947189	0.000000	0.022676
212.969865	0.000000	0.022680
212.992545	0.000000	0.022685
213.015231	0.000000	0.022690
213.037921	0.000000	0.022695
213.060616	0.000000	0.022700
213.083316	0.000000	0.022705
213.106020	0.000000	0.022710
213.128730	0.000000	0.022714
213.151444	0.000000	0.022719
213.174163	0.000000	0.022724
213.196887	0.000000	0.022729
213.219616	0.000000	0.022734
213.242350	0.000000	0.022739
213.265089	0.000000	0.022743
213.287832	0.000000	0.022748
213.310580	0.000000	0.022753
213.333333	0.000000	0.022758
213.356091	0.000000	0.022763
213.378854	0.000000	0.022768
213.401622	0.000000	0.022773
213.424394	0.000000	0.022777
213.447172	0.000000	0.022782
213.469954	0.000000	0.022787
213.492741	0.000000	0.022792
213.515533	0.000000	0.022797
213.538330	0.000000	0.022802
213.561132	0.000000	0.022807
213.583938	0.000000	0.022811
213.606750	0.000000	0.022816
213.629566	0.000000	0.022821
213.652388	0.000000	0.022826
213.675214	0.000000	0.022831
213.698045	0.000000	0.022836
213.720881	0.000000	0.022841
213.743721	0.000000	0.022846
213.766567	0.000000	0.022851
213.789417	0.000000	0.022855
213.812273	0.000000	0.022860
213.835133	0.000000	0.022865
213.857998	0.000000	0.022870
213.880868	0.000000	0.022875
213.903743	0.000000	0.022880
213.926623	0.000000	0.022885
213.949508	0.000000	0.022890
213.972398	0.000000	0.022895
213.995292	0.000000	0.022899
214.018192	0.000000	0.022904
214.041096	0.000000	0.022909
214.064005	0.000000	0.022914
214.086919	0.000000	0.022919
214.109838	0.000000	0.022924
214.132762	0.000000	0.022929
214.155691	0.000000	0.022934
214.178625	0.000000	0.022939
214.201564	0.000000	0.022944
214.224507	0.000000	0.022949
214.247456	0.000000	0.022953
214.270409	0.000000	0.022958
214.293368	0.000000	0.022963
214.316331	0.000000	0.022968
214.339299	0.000000	0.022973
214.362272	0.000000	0.022978
214.385250	0.000000	0.022983
214.408233	0.000000	0.022988
214.431221	0.000000	0.022993
214.454214	0.000000	0.022998
214.477212	0.000000	0.023003
214.500215	0.000000	0.023008
214.523222	0.000000	0.023013
214.546235	0.000000	0.023018
214.569252	0.000000	0.023022
214.592275	0.000000	0.023027
214.615302	0.000000	0.023032
214.638334	0.000000	0.023037
214.661372	0.000000	0.023042
214.684414	0.000000	0.023047
214.707461	0.000000	0.023052
214.730513	0.000000	0.023057
214.753570	0.000000	0.023062
214.776632	0.000000	0.023067
214.799699	0.000000	0.023072
214.822771	0.000000	0.023077
214.845848	0.000000	0.023082
214.868930	0.000000	0.023087
214.892017	0.000000	0.023092
214.915109	0.000000	0.023097
214.938205	0.000000	0.023102
214.961307	0.000000	0.023107
214.984414	0.000000	0.023112
215.007525	0.000000	0.023117
215.030642	0.000000	0.023122
215.053763	0.000000	0.023127
215.076890	0.000000	0.023132
215.100022	0.000000	0.023136
215.123158	0.000000	0.023141
215.146299	0.000000	0.023146
215.169446	0.000000	0.023151
215.192597	0.000000	0.023156
215.215754	0.000000	0.023161
215.238915	0.000000	0.023166
215.262082	0.000000	0.023171
215.285253	0.000000	0.023176
215.308429	0.000000	0.023181
215.331611	0.000000	0.023186
215.354797	0.000000	0.023191
215.377988	0.000000	0.023196
215.401185	0.000000	0.023201
215.424386	0.000000	0.023206
215.447592	0.000000	0.023211
215.470804	0.000000	0.023216
215.494020	0.000000	0.023221
215.517241	0.000000	0.023226
215.540468	0.000000	0.023231
215.563699	0.000000	0.023236
215.586935	0.000000	0.023241
215.610177	0.000000	0.023246
215.633423	0.000000	0.023251
215.656675	0.000000	0.023256
215.679931	0.000000	0.023261
215.703192	0.000000	0.023266
215.726459	0.000000	0.023271
215.749730	0.000000	0.023276
215.773007	0.000000	0.023282
215.796288	0.000000	0.023287
215.819575	0.000000	0.023292
215.842866	0.000000	0.023297
215.866163	0.000000	0.023302
215.889465	0.000000	0.023307
215.912771	0.000000	0.023312
215.936083	0.000000	0.023317
215.959400	0.000000	0.023322
215.982721	0.000000	0.023327
216.006048	0.000000	0.023332
216.029380	0.000000	0.023337
216.052717	0.000000	0.023342
216.076059	0.000000	0.023347
216.099406	0.000000	0.023352
216.122758	0.000000	0.023357
216.146115	0.000000	0.023362
216.169477	0.000000	0.023367
216.192844	0.000000	0.023372
216.216216	0.000000	0.023377
216.239593	0.000000	0.023382
216.262976	0.000000	0.023387
216.286363	0.000000	0.023392
216.309756	0.000000	0.023397
216.333153	0.000000	0.023403
216.356556	0.000000	0.023408
216.379963	0.000000	0.023413
216.403376	0.000000	0.023418
216.426794	0.000000	0.023423
216.450216	0.000000	0.023428
216.473644	0.000000	0.023433
216.497077	0.000000	0.023438
216.520515	0.000000	0.023443
216.543958	0.000000	0.023448
216.567407	0.000000	0.023453
216.590860	0.000000	0.023458
216.614318	0.000000	0.023463
216.637782	0.000000	0.023469
216.661250	0.000000	0.023474
216.684724	0.000000	0.023479
216.708202	0.000000	0.023484
216.731686	0.000000	0.023489
216.755175	0.000000	0.023494
216.778669	0.000000	0.023499
216.802168	0.000000	0.023504
216.825672	0.000000	0.023509
216.849181	0.000000	0.023514
216.872696	0.000000	0.023519
216.896215	0.000000	0.023525
216.919740	0.000000	0.023530
216.943269	0.000000	0.023535
216.966804	0.000000	0.023540
216.990344	0.000000	0.023545
217.013889	0.000000	0.023550
217.037439	0.000000	0.023555
217.060994	0.000000	0.023560
217.084554	0.000000	0.023565
217.108120	0.000000	0.023571
217.131690	0.000000	0.023576
217.155266	0.000000	0.023581
217.178847	0.000000	0.023586
217.202433	0.000000	0.023591
217.226024	0.000000	0.023596
217.249620	0.000000	0.023601
217.273221	0.000000	0.023606
217.296827	0.000000	0.023612
217.320439	0.000000	0.023617
217.344056	0.000000	0.023622
217.367677	0.000000	0.023627
217.391304	0.000000	0.023632
217.414936	0.000000	0.023637
217.438574	0.000000	0.023642
217.462216	0.000000	0.023647
217.485863	0.000000	0.023653
217.509516	0.000000	0.023658
